     0/299        0G    0.1025    0.0285         0     0.131         2       640  0.008431  0.008696  0.006252 0.0007352   0.09229    0.0255         0
     1/299        0G    0.1028   0.02554         0    0.1283         2       640         0         0  0.003175 0.0005503   0.08438   0.02258         0
     2/299        0G   0.08697   0.02268         0    0.1096         2       640         0         0  0.005039   0.00105   0.07919   0.02024         0
     3/299        0G   0.08234   0.01982         0    0.1022         1       640         0         0   0.01165  0.002309   0.07413   0.01814         0
     4/299        0G   0.06878   0.01799         0   0.08677         1       640         0         0   0.01165  0.002309   0.07413   0.01814         0
     5/299        0G   0.08349   0.02069         0    0.1042         4       640         0         0   0.01165  0.002309   0.07413   0.01814         0
     6/299        0G   0.07778   0.01982         0    0.0976         3       640         0         0   0.01165  0.002309   0.07413   0.01814         0
     7/299        0G    0.0849   0.02056         0    0.1055         3       640         0         0   0.01165  0.002309   0.07413   0.01814         0
     8/299        0G   0.08368    0.0189         0    0.1026         1       640         0         0   0.01165  0.002309   0.07413   0.01814         0
     9/299        0G   0.07892    0.0182         0   0.09712         0       640         0         0  0.008221  0.001874   0.07984   0.01525         0
    10/299        0G   0.08097   0.01708         0   0.09806         1       640         0         0   0.04811  0.009557   0.07186   0.01462         0
    11/299        0G   0.08086   0.01583         0   0.09669         2       640         0         0  0.006349  0.001108   0.07888   0.01271         0
    12/299        0G   0.08167   0.01574         0   0.09741         2       640         0         0   0.03389   0.01021   0.06809   0.01497         0
    13/299        0G   0.06975    0.0154         0   0.08515         2       640         1  0.008696   0.03937  0.009123   0.06415   0.01528         0
    14/299        0G   0.07273   0.01725         0   0.08997         0       640         1  0.008696    0.0547   0.01202   0.06116   0.01564         0
    15/299        0G   0.06964   0.01944         0   0.08908         2       640         1  0.008696   0.06911   0.01523    0.0604   0.01571         0
    16/299        0G   0.06058   0.01673         0   0.07731         1       640         1  0.008696   0.08357   0.01652   0.05755   0.01596         0
    17/299        0G   0.06554   0.01826         0   0.08381         5       640         0         0     0.049   0.01124   0.05907    0.0156         0
